dataset,group,n,time_min,time_median,time_mean,time_p90,time_max,nodes_median,nodes_mean,optimal_rate
FK_1,100 items / 10 knapsacks,10,2.704,5.537,8.4869,15.351499999999996,23.294,2.5,3.9,1.0
SMALL,20 items / 10 knapsacks,10,0.009,0.045,0.09230000000000001,0.26839999999999997,0.344,1.0,3.2,1.0
