dataset,n,time_median,time_mean,time_p90,time_max,nodes_median,nodes_mean,optimal_rate
FK_1,10,5.537,8.4869,15.351499999999996,23.294,2.5,3.9,1.0
SMALL,368,0.621,14.212051630434782,40.98290000000001,256.664,3.0,43.50815217391305,0.7989130434782609
