dataset,group,n,time_median,time_mean,time_p90,nodes_median,nodes_mean
SMALL,60 items / 20 knapsacks,30,45.3835,72.34113333333333,159.20090000000008,116.5,200.13333333333333
SMALL,60 items / 10 knapsacks,30,2.9829999999999997,14.100566666666667,44.89470000000003,2.0,33.6
SMALL,40 items / 10 knapsacks,30,4.3765,8.124066666666668,25.6212,14.0,30.933333333333334
SMALL,40 items / 20 knapsacks,30,0.34299999999999997,3.5664333333333333,8.880700000000006,2.0,18.633333333333333
SMALL,20 items / 10 knapsacks,30,0.0325,0.12233333333333334,0.36140000000000017,1.0,9.1
SMALL,20 items / 20 knapsacks,29,0.004,0.004586206896551724,0.0053999999999999986,1.0,1.0689655172413792
